ID,Video Title,Description,Views,Likes,Dislikes,Comment Count,clickbait
4FtpqYYn6fs,Oddly SATISFYING Video Compilation - ASMR   Slime Pressing and more! (part 5),"Oddly SATISFYING Video Compilation - ASMR   Slime Pressing and more! (part 5)

CREATOR CREDITS:

@slimewonderland532 
@SatisfyingWorldd 
@SlimeMasters 
@TalisaTossell 
@slimemixing9101 
@SlimeAmazing 
https://www.tiktok.com/@w80000w/video/7051579891648810286
https://www.tiktok.com/@momarkmoproblem/video/7006405730832059654
https://www.tiktok.com/@barkerball/video/6975150101937294597
https://www.tiktok.com/@w80000w/video/7052314928887385390


PART 1: https://www.youtube.com/watch?v=USisYR5Kw1Q
PART 2: https://www.youtube.com/watch?v=cK_eydi7-Rg
PART 4: https://youtu.be/c8OiMnRSZ-s

SUBSCRIBE and become part of the AzzyLand family :D 

Hello I'm Azzy and welcome to another amazing reaction video! Today we are reacting to Oddly SATISFYING Video Compilation - ASMR   Slime Pressing and more! (part 5)

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
• Instagram: https://www.instagram.com/azzyland/
• Tik Tok: https://www.tiktok.com/azzyland/
• Twitter: https://twitter.com/AzzyLand
• Facebook: https://www.facebook.com/azzyland/
• Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",50755564,370755,25506,32155,1
BynsLbLlFkU,Oddly Satisfying Videos I Watch Instead of Getting Therapy,"Oddly Satisfying Videos I Watch Instead of Getting Therapy

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand


 #azzyreacts #azzyverse #oddlysatisfying #azzyland #azzy #reaction #funny",409336,9631,341,625,1
EyEQFQHcnEQ,What REALLY happens in College,"What REALLY happens in College - college life
👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

🛍️ OFFICIAL AZZYLAND MERCH 
https://www.azzyland.com/shop

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand


 #azzyreacts #azzyverse #azzyworld #azzyland #azzy #reaction #funny",572269,11021,119,506,1
tNs2yOK6xg8,Rare things you've NEVER seen before,"Rare things you've NEVER seen before

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand


 #azzyreacts #azzyverse #azzyworld #azzyland #azzy #reaction #funny",373069,9875,326,1008,1
GISLlIHpHw4,My BF and Best Friend got TRAPPED IN AN ELEVATOR - A True Story Animation,"Azzyland - My BF and Best Friend got TRAPPED IN AN ELEVATOR - A True Story Animation - Dory Story: https://www.youtube.com/watch?v=LMGu2WQf4Nk

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",5654498,118668,2958,5366,1
bzWOUQ1egtg,Try Not To Say WOW Challenge ... (IMPOSSIBLE),"Try Not To Say WOW Challenge - PART 1: https://www.youtube.com/watch?v=v1iAuEnKw0o

CREATOR CREDITS:
https://www.instagram.com/p/CZzMqD3JfOv/  
https://www.instagram.com/p/Cas4QR-qQDU/  
https://www.instagram.com/p/CXY0YTJA6X5/ 
https://www.instagram.com/p/CX5luBzBkE0/  
https://www.instagram.com/p/CW3KYRFA3lH/
https://www.instagram.com/p/CaIQVK8q_8b/  
https://www.instagram.com/p/CY88f_tD_HH/  
https://www.instagram.com/p/CZqTlITl9IW/  
https://www.instagram.com/p/CaJNX_trXwu/  
https://www.instagram.com/p/CFczk35jVCI/  
https://www.instagram.com/p/CZEwhbpogcE/  
https://www.instagram.com/p/CbQOs7KJi_a/  
https://www.instagram.com/p/CauWaKgFRad/  
https://www.instagram.com/p/CbVXyeXg1or/  
https://www.instagram.com/p/CYGM1qcpF49/  
https://www.instagram.com/p/CQgyYXhgNIJ/  
https://www.instagram.com/p/CaG-z9hLpVD/   
https://www.instagram.com/p/CXiKDa_A2Gy/  
https://www.instagram.com/p/CY8mIljDRxw/  


Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are reaction to the Try Not To Say WOW Challenge ... (IMPOSSIBLE) 

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",37682461,335434,18543,40788,1
fSmOjxGSrvY,Funniest DESIGN FAILS To Ever Happen !,"Azzyland — Funniest DESIGN FAILS To Ever Happen !

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",9950770,131104,3384,5512,1
q0gkE2F6-Ek,Kids Build AMAZING Water Slide Around Their SECRET UNDERGROUND HOUSE !,"Kids Build AMAZING Water Slide Around Their SECRET UNDERGROUND HOUSE !

SUBSCRIBE and become part of the AzzyLand family :D 

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are reacting to Kids Build AMAZING Water Slide Around Their SECRET UNDERGROUND HOUSE !

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",14510279,441975,9878,13442,1
J_NG0M-juo0,Cooking WITHOUT A RECIPE challenge - Azzyland Gloom & Brianna,"Azzyland - Cooking WITHOUT A RECIPE challenge - Azzyland Gloom & Brianna - Today Me  Gloom  and Brianna are cooking without a recipe. No tutorials or cook books allowed! What is your favorite thing to cook at home? Let me know!

Gloom: https://www.youtube.com/channel/UC6IijBsVf2PlWo_uq6P9wQw

Brianna: https://www.youtube.com/channel/UCXg4rJUbDP1IP3TmZ9KDpJg

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",5878823,119146,2597,6501,1
rqvq4CMi970,Reacting to the FUNNIEST CHRISTMAS Video Compilation !,"Reacting to the FUNNIEST CHRISTMAS Video Compilation !

SUBSCRIBE and become part of the AzzyLand family :D 

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are reacting to the FUNNIEST CHRISTMAS Video Compilation !

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",2008584,31083,778,3848,1
YbtWbl5iQGE,Creative Halloween Ideas on Another Level !,"Azzyland - Creative Halloween Ideas on Another Level !

These are some of the most creative and spooky DIY Halloween Ideas! I hope you guys enjoy the video and it puts you in the halloween spirit!

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",2766628,71486,1247,4217,1
ZQhYy0WIXsU,The Cutest and Weirdest Animals You've Ever Seen,"Get ready for an adorable overload with this compilation of cute animal moments! From baby dogs and mice to goats and elephants  these furry and feathery friends will melt your heart. Don't miss the hilarious pig munching on corn or the baby squidward making an appearance. Subscribe to our channel for more heartwarming animal videos!

The Cutest and Weirdest Animals You've Ever Seen",171955,8958,49,833,1
wkuv1Gl5um4,We tried the 60 SEC SURVIVAL CHALLENGE !,"Azzyland - We tried the 60 SEC SURVIVAL CHALLENGE !

Gloom: https://youtu.be/Yax_jNOljcU

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",1614211,37930,795,2286,1
faE8KOaTaUs,I was in a COMA but I heard EVERYTHING ! - My Story Animated,"Azzyland - I was in a COMA but I heard EVERYTHING ! - My Story Animated

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s

CREDIT
MY STORY ANIMATED: https://youtu.be/pmAyU6_Cxn4",29376595,1328827,31190,44141,1
3J9RWEtnsRA,Wholesome Tik Toks that restored my faith in humanity,"Wholesome Tik Toks that restored my faith in humanity
Charity link : https://www.sickkidsdonations.com/registrant/mobile/MobileDonate.aspx?eventid=365212&langpref=en-CA&SPID=0&Referrer=https%3a%2f%2fwww.sickkidsfoundation.com%2fcampaigns%2fazzyland

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

🛍️ OFFICIAL AZZYLAND MERCH 
https://www.azzyland.com/shop

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand


 #azzyreacts #azzyverse #wholesome #azzyland #azzy #reaction #funny",369411,10449,101,760,1
BT-QQFQEZf0,Umbrellas are for Idiots #shorts,#shorts #azzyland #azzy,576950,23753,719,388,1
njgcY1flp6w,What DISNEY ANIMALS would look like as HUMAN cartoons,"What DISNEY ANIMALS would look like as HUMAN cartoons - Azzyland 

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

🛍️ OFFICIAL AZZYLAND MERCH 
https://www.azzyland.com/shop

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",507759,17747,273,1296,1
j9pYWmQ4W6E,Crazy Online School Hacks for Virtual Classes !,"Azzyland - Crazy Online School Hacks for Virtual Classes !

A lot of students out there are adjusting to online school and virtual classes. I hope this video of funny hacks makes you smile!

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Tik Tok: https://www.tiktok.com/@azzyland
•Facebook: https://www.facebook.com/azzyland/
•Twitter: https://twitter.com/AzzyLand

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s",3524870,79666,1106,6346,1
xMMi_iFsP_I,Reacting to the SADDEST CHRISTMAS animations - TRY NOT TO CRY CHALLENGE,"Reacting to the SADDEST CHRISTMAS animations - TRY NOT TO CRY CHALLENGE

SUBSCRIBE and become part of the AzzyLand family :D 

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are reacting to the SADDEST CHRISTMAS animations - TRY NOT TO CRY CHALLENGE.

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",27794260,279094,14981,46297,1
YaewZw4fup8,My Dad HATES My UGLY Girlfriend ! - A TRUE Story Animation,"Azzyland - My Dad HATES My UGLY Girlfriend ! - A TRUE Story Animation 
Share My Story: https://youtu.be/4mLzhwBkYzk

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

✨ SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland

🎵 OUTRO SONG
https://www.youtube.com/watch?v=xVzeZGRZk0s

CREDIT
Share My Story: https://youtu.be/4mLzhwBkYzk",5731106,144752,3284,8382,1
4gMfnU7GqVI,Messed up MYSTERY RIDDLES to Test Logic Skills w/ Gloom,"Messed up MYSTERY RIDDLES to Test Logic Skills w/ Gloom - 
7 Second Riddles: https://www.youtube.com/channel/UCttFk8-Nysnyw59aNlWOWzw
Gloom: https://www.youtube.com/watch?v=jRMStcfvsZg

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are reacting to Messed up MYSTERY RIDDLES to Test Logic Skills w/ Gloom

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",9642867,129338,4821,5189,1
KeFzuodMxUc,I STOLE MY DADS WIFE !? - A True Story Animated,"I STOLE MY DADS WIFE !? - A True Story Animated

Check out Share My Story: https://www.youtube.com/watch?v=HEcHxr0twzA

👨‍👩‍👧 SUBSCRIBE and become part of the AzzyLand family :D 

🛍️ OFFICIAL AZZYLAND MERCH 
https://www.azzyland.com/shop

✨ LET'S BE FRIENDS
❤️ Instagram: https://www.instagram.com/azzyland/
💛 Tik Tok: https://www.tiktok.com/@azzyland
💚 Facebook: https://www.facebook.com/azzyland/
💙 Twitter: https://twitter.com/AzzyLand


 #azzyreacts #azzyverse #azzyworld #azzyland #azzy #reaction #funny",947471,14561,238,599,1
KG-pqPhbvH8,Reacting to the FUNNIEST Animations !,"Reacting to the FUNNIEST Animations !

SUBSCRIBE and become part of the AzzyLand family :D 

Hello Citizens of Azzyland.... I'm Azzy and welcome to another amazing reaction video! Today we are Reacting to the FUNNIEST Animations !

SIMILAR VIDEOS ► https://www.youtube.com/playlist?list=PLk_2g8L0o5r48OqZg53Soa9T1m4vLtOC9
CHALLENGES ►  https://www.youtube.com/playlist?list=PLk_2g8L0o5r5kDiRjdkzysfihiAW-hQgq

SOCIAL MEDIA
•Instagram: https://www.instagram.com/azzyland/?hl=en
•Twitter: https://twitter.com/AzzyLand
•Facebook: https://www.facebook.com/azzyland/
•Twitch: https://www.twitch.tv/azzyland


OUTRO SONG: https://www.youtube.com/watch?v=xVzeZGRZk0s",5963315,77760,2719,2479,1
